CHATBOT_CENTRO_COSTOS,NOMBRE_MOSTRAR,CODIGO,CENTRO_COSTO,ID_SUBCARPETA_DOCUMENTO_PASOS,ID_SUBCARPETA_FLUJOGRAMA,S3_BEDROCK_BUCKET,DATASOURCE
1,"Admisiones","ADM",291,"1gxtelmGEILwKA18fcrhFIK0gD4G9dsYE","1s6kYZOJ3tFEJjdemLsfis3mxZbfqNtDY","n8nprocesosextraido3-west","QAAVRURWAU"
2,"Atención al estudiante","AES",290,"1NH-SdtAXb10PowPcMfsthkatef3_iHgW","1KX-WXdKF98gG8pO9VToesgRHXwbZmYzs","n8nprocesosextraido5-west","LS6TNX8BFX"
3,"CETA","CETA",36,"17JrritTc2jDY-wOr9lGCF4OflGen2Ork","1sbxlrW35O56kcPG94Y5O9m8zyytZrw90","n8nprocesosextraido2-west","CPU7YKI9U0"
4,"Clínicas Salud","CSM",503,"18vHcljSL_qa19cL_sKBDlWcbL0QWlI_L","1HrFZRZmD1tfGM81nFLJrqtS8qSI8jkzu","n8nprocesosextraido5-west","LS6TNX8BFX"
5,"CoLab","COLAB",498,,,"n8nprocesosextraido1-west","L9TI6HV0R4"
6,"Contabilidad","CON",11,"1ITlZh-bzamNOYHpWOtFp66-5DaEC0K6R","1JBhs3rp47vaQZD-7UfxeMA29FRAAYOlT","n8nprocesosextraido4-west","OKW5BSUCDW"
7,"Crédito Educativo","CE",182,"19GGu9nqoZjms9fdOzcG6dX57xjwASsvA","1trhgyEvg74NJOV7JO4LGu1KQQNPqhCkK","n8nprocesosextraido4-west","OKW5BSUCDW"
8,"Cuenta Corriente","CTAC",366,"13KrJ1gZ4raphD8mUjUI25XFLvLY2CpcS","17g2TeXowrR3CDFYbh_m5GM47aCaa2tl7","n8nprocesosextraido3-west","QAAVRURWAU"
9,"Tecnología (IT)","IT",13,"15otg4y0rsSsNz2u_FOFFqCKsN1lapFHM","1qX15iVb_9w4dtiSTKuXG_aJ26a6uY-7K","n8nprocesosextraido1-west","L9TI6HV0R4"
10,"Mercadeo","MERC",355,"1Iczqo2cuThX3E0Vv0VxHpvSfrWlzpqVi","1cdFOKEd9jI99yFKL6FH1rT4I2tb_lLpa","n8nprocesosextraido3-west","QAAVRURWAU"
11,"Publicaciones","PU",228,"1YvM0lLLbIQ9PQyFzEhrrovoD3W9NCowy","15W1UpJdADYjvUwwvqGSz80aW5EPxrpi9","n8nprocesosextraido3-west","QAAVRURWAU"
12,"Registro","REG",180,"1wbNXJy7kuDjA_NHy_EQ-Nnp88t7fn1tB","12byRU1n4W0nZBjb5DbexDW7RK9K6glSH","n8nprocesosextraido4-west","OKW5BSUCDW"
13,"Recursos Humanos","RH",376,"1odVAplt1eUvuc6Ugf5jGKh_ISKUPyZZu","1WZgli_D3050DxkJD11iwuby3_cMeGq7F","n8nprocesosextraido5-west","LS6TNX8BFX"
14,"Tesorería","TES",189,"1DOpfFbXRORy6t4LYt4IGtOcl8kId-Xts","18tbyEieNTn0qti0STB_B9ItZq6jX5oxQ","n8nprocesosextraido4-west","OKW5BSUCDW"
15,"UFM LABS","UFM-LABS",230,"1AIgKYcR9q-jS2Yismn4RQUfQ8iTg9Nmv","1SSf0hbUrCyfZhrPsyFPlHsGQif-l1UTE","n8nprocesosextraido5-west","LS6TNX8BFX"
